Rank,Model,Composite_Score,R²,Adjusted_R²,MAE,MSE,RMSE,MAPE (%),MBE,CV_R²_Mean,CV_R²_Std,CV_MAE_Mean,CV_MAE_Std,Training_Time (s)
1,Gradient Boosting,0.9242961838901393,0.8902891227075889,0.8837587133449454,2596.9218781651766,20160038.993749492,4489.993206425762,32.8349422961636,166.7380623072712,0.8395436129161432,0.019000252428346447,2553.9532326034773,106.87526645654194,2.438115
2,Ridge Regression,0.9056730509213865,0.8855504514566267,0.878737978329045,2797.4281425422523,21030798.571611024,4585.9348634287235,31.496765121649776,8.130471407104533,0.8285849641143932,0.023219285459931963,2901.094225581503,105.71003638598431,0.043498
3,Lasso Regression,0.8953277938188877,0.8854191046553822,0.8785988132658217,2794.6103705758746,21054934.34283209,4588.565608426242,31.624452098728124,21.943140625077614,0.8287175676905557,0.023563855405848193,2904.833232970041,116.91283386939574,0.100704
4,Linear Regression,0.8943490923064251,0.8853450723100539,0.8785203742332713,2795.13253027613,21068538.235221356,4590.047737793297,31.62995988071678,22.810164765788425,0.8286408728494049,0.023571823719332554,2906.548207960116,117.53109679778927,0.042807
5,LightGBM,0.8916611546557108,0.8890284964334049,0.8824230497925362,2666.6362140011934,20391686.71612034,4515.715526483078,34.777526913935965,99.77558970624786,0.8308524363798115,0.022709308642805646,2660.343252846989,146.25966401618595,0.339652
6,XGBoost,0.8168481020757024,0.8773582496551974,0.8700581454680067,2741.573542464931,22536165.330472067,4747.227120169422,41.36955489576116,215.52650607314024,0.8222069493286164,0.017725136170746086,2645.6480550610927,100.74660158180664,1.143404
7,Random Forest,0.8086997245273101,0.8772745583366348,0.8699694725233392,2657.285360964427,22551544.117765535,4748.846609205812,38.14179024403502,308.3636913029852,0.8170192605119262,0.013207692439429696,2667.503984167716,144.103249590539,5.735155
8,Extra Trees,0.6058804180162025,0.846653046431922,0.8375252515766792,2885.200528955598,28178432.620363228,5308.336144251156,42.66143379330959,406.556138059328,0.7955442589792306,0.011881588258740722,2753.213340062125,119.47723935596618,2.630877
9,ElasticNet Regression,0.22495425074238865,0.8072737508077974,0.7958019502606425,4357.558648721542,35414616.98896326,5951.018147255414,54.44866013082794,-374.18864502037184,0.7555070588040491,0.0217375326354786,4122.061778931585,104.42436402152589,0.042518
10,Decision Tree,0.12922613380631373,0.7747753544472624,0.7613691255453138,3052.9573883544776,41386394.391822755,6433.225815391743,52.01175786983223,389.0603870186566,0.7072401926329682,0.02161282037804363,2914.0431980993817,221.72261142387688,0.111149
